序号,园区,所属区域,城市,所属业态,项目分级,项目分类,拟定承建组织,总部重点关注项目,专业,专业分包,项目名称,备注说明,拟定金额,专业细分
29,申园,华东,上海,独立,一级（最高级）,运营需求,不动产项目部,否,其它系统,精装,一期会所公区、餐厅、牡丹厅、玉兰厅、乐活剧场整体灯光改造,目前只能开启舞台两边的主灯，建议改造加装彩光及追光还有面光灯、乐活剧场灯光电闸开关时常有电光显现及频繁跳闸，有短路风险，建议全面排查检修。,50,精装
31,申园,华东,上海,独立,一级（最高级）,安全提升,社区分包,否,消防系统,消防,SI标识制作安装,消防警示标识,30,消防
32,申园,华东,上海,独立,一级（最高级）,经营性功能调整,不动产项目部,否,其它系统,精装,一期会所三楼区域改造,一期会所三楼功能性优化，闲置功能区改造,25,精装
33,申园,华东,上海,独立,一级（最高级）,经营性功能调整,社区分包,否,其它系统,精装,一期医务室改造,医务室改造为银发经济馆（暂定），配合桁架广场打造商业场景,30,精装
34,申园,华东,上海,独立,一级（最高级）,运营需求,社区分包,否,其它系统,精装,一期负一楼后厨区域改造,后厨功能区域修缮性改造,21,精装
35,申园,华东,上海,独立,二级,运营需求,社区分包,否,其它系统,土建,二期一楼餐厅餐线改造,现有T型餐线改成一条自选餐线，一条称重餐线,30,土建
36,申园,华东,上海,独立,二级,品质提升,社区分包,否,其它系统,精装,一期特需餐厅改造-一楼包厢（四个）-一期各个餐厅椅面更换,墙面/装饰/家具调整翻新/餐厅椅子的布制面翻新,38,精装
37,申园,华东,上海,护理,二级,品质提升,社区分包,否,其它系统,精装,11-18楼公区及洗衣房改造-11-20楼公区及房间配置换新,公区装饰软装改造，洗衣房空间狭小且无预洗池，不符民政要求，建议与污洗间交换位置/公区餐桌椅及沙发破损需更新，房间家具破损需更新，建议保留柜体，更换面板；新增双层换鞋凳,10,精装
38,申园,华东,上海,独立,二级,运营需求,社区分包,否,其它系统,土建,二期蔬菜加工间改造,"新增蔬果加工间-配备智能化设备（清洗/切配），现
有点位负荷不了后续运营需求（2期自选餐/3期餐厅/2期员工餐）",10,土建
39,申园,华东,上海,护理,二级,品质提升,社区分包,否,其它系统,精装,1&2号楼居民房间换新,"座椅更换，现椅面滑有跌倒等风险.沙发老旧，沙发垫塌陷有滑坐在地风险.家具翻新或更换，使用约10年,家具老旧、掉漆、破损",25,精装
40,申园,华东,上海,独立,二级,运营需求,社区分包,否,其它系统,精装,一期玉兰厅舞台后方副厅改造,玉兰厅舞台后方副厅改造,5,精装
41,申园,华东,上海,独立,二级,品质提升,社区分包,否,其它系统,精装,乐活剧场改造,乐活剧场整体音响换新、沙发换新、舞台换新,27,精装
42,申园,华东,上海,独立,二级,智能化提升,社区分包,否,其它系统,精装,北区舞蹈教室改造,地面改造为软塑地面，适用于各种舞蹈场景,7,精装
43,申园,华东,上海,独立,二级,智能化提升,社区分包,否,弱电系统,弱电,一期二楼第一教室，第三教室改造-KTV设备换新,"1.教室投影仪需更换，现有投影设备画面模糊、色彩失真，投影放映效果不理想
2、投影仪幕布显示不清晰，影响观看效果
3、教室音响效果不理想，需优化音质或加装内嵌音响系统4.KTV机设备老旧换新",34,弱电
44,申园,华东,上海,独立,二级,品质提升,社区分包,否,其它系统,土建,二期一楼四季花厅小舞台改造,小舞台老旧需要翻新,15,土建
45,申园,华东,上海,独立,二级,品质提升,社区分包,否,其它系统,精装,1-2号楼，一期公区窗帘换新-1-2号楼浴帘，北区居民楼床换新,"窗帘老旧破损换新/房间浴帘老旧破损更换，房间床/床垫老旧破损换新
",33,精装
46,申园,华东,上海,独立,二级,品质提升,社区分包,否,其它系统,精装,居民生活楼配置空气净化器,居民楼层过道配商用智能空气净化器辅助净化空气,2,精装
47,申园,华东,上海,独立,二级,品质提升,社区分包,否,其它系统,精装,一期1-6号楼居民楼12部电梯、会所3部电梯软装换新,电梯轿厢软装老旧破损需翻新,3,精装
48,申园,华东,上海,独立,三级,运营需求,社区分包,否,强电暖通系统,机电,二期强电间与一期水泵房，换热机房等改造,机房地坪破旧不堪做环氧地坪或者贴地砖,28,机电
49,申园,华东,上海,独立,三级,运营需求,社区分包,否,暖通系统,机电,板式换热器及地暖分水器化学清洗,机房地暖、空调板式换热器及2#楼室内分水器管道清洗,19,机电
50,申园,华东,上海,独立,三级,运营需求,社区分包,否,暖通系统,机电,二期会所沐浴及餐饮热水罐更换,二期会所沐浴及餐饮热水罐更换,15,机电
51,申园,华东,上海,独立,三级,运营需求,社区分包,否,暖通系统,机电,一期独立楼烟道加装排风机,约70个油烟风道加装强排风机,49,机电
52,申园,华东,上海,独立,三级,运营需求,社区分包,否,暖通系统,机电,北区雨水管道改造,接驳市政雨水管网,20,机电
53,申园,华东,上海,独立,三级,品质提升,社区分包,否,其它系统,机电,南北区屋面风机铁皮、吊杆、线管、电箱、水管等基础件除锈刷漆,南北区合计14栋屋面设备除锈刷漆,10,机电
54,申园,华东,上海,独立,三级,运营需求,社区分包,否,弱电系统,弱电,北区中控室电视墙改造,电视墙更换,20,弱电
55,申园,华东,上海,独立,三级,运营需求,社区分包,否,弱电系统,弱电,北区中控室硬盘录像机更换,更换硬盘录像机,10,弱电
56,申园,华东,上海,独立,三级,安全提升,社区分包,否,弱电系统,弱电,北区会所桁架及部分盲区增设摄像头,北区桁架及盲区增加摄像头,1,弱电
57,申园,华东,上海,独立,三级,运营需求,社区分包,否,弱电系统,弱电,北区弱电间改造,线路整理,12,弱电
58,申园,华东,上海,独立,三级,运营需求,社区分包,否,弱电系统,弱电,南区弱电间没有空调,弱电间加装空调,25,弱电
59,申园,华东,上海,独立,三级,运营需求,社区分包,否,弱电系统,弱电,玉兰厅会场设备维修,玉兰厅屏幕更换及会议设备维修,12,弱电
60,申园,华东,上海,独立,三级,智能化提升,社区分包,是,弱电系统,弱电,远传计量改良,远程计量连接及加装,20,弱电
61,申园,华东,上海,独立,三级,智能化提升,社区分包,是,弱电系统,弱电,IBMS,完善系统设备,150,弱电
62,申园,华东,上海,独立,三级,安全提升,社区分包,否,消防系统,消防,北区1到6号楼电梯厅避难间改造,更换各个楼层电梯厅的防火门、增加消防电话、防毒面具等消防设备,50,消防
63,申园,华东,上海,独立,三级,大修,社区分包,否,其它系统,精装,居民、公区窗户地面墙面门窗玻璃管道维修,窗户改良改造,165,精装
64,申园,华东,上海,独立,三级,运营需求,社区分包,否,暖通系统,机电,一期桁架排水沟改造,桁架排水沟改造,25,机电
65,申园,华东,上海,独立,三级,品质提升,社区分包,否,其它系统,精装,北区公区地毯更换,1期公共区域,10,精装
66,申园,华东,上海,独立,三级,智能化提升,社区分包,否,弱电系统,弱电,医院南门闸机改造,医院南门口,5,弱电
67,申园,华东,上海,独立,三级,品质提升,社区分包,否,土建设施,土建,一期外围防腐木更新,"1期东港河公园、1期门球场及儿童乐园、1期多功能厅东侧 
",6,土建
68,申园,华东,上海,独立,三级,品质提升,社区分包,否,土建设施,土建,南区建筑垃圾房改造,南区建筑垃圾房,5,土建
69,申园,华东,上海,独立,三级,运营需求,社区分包,否,暖通系统,机电,冷却塔及塔附属设施维修,北区冷却塔及塔附属设施维修,17,机电
70,申园,华东,上海,独立,三级,运营需求,社区分包,否,暖通系统,机电,水箱及附属设施维修,水箱及附属设施维修,15,机电
71,申园,华东,上海,独立,三级,安全提升,社区分包,否,消防系统,消防,防火门更换（300扇）,南北区公区更换防火门,60,消防
72,粤园,华南,广州,独立,一级（最高级）,金额10万以上的常规维修,不动产项目部,否,其它系统,弱电,BA等相关智能化工程改造,,200,弱电
73,粤园,华南,广州,独立,二级,金额10万以上的常规维修,社区分包,否,其它系统,园林,园林绿化增加取水点,,12,园林
74,粤园,华南,广州,独立,三级,金额10万以上的常规维修,社区分包,否,其它系统,弱电,第二教室增加投影、音响设备,活动条线,10,弱电
75,粤园,华南,广州,独立,三级,金额10万以上的常规维修,不动产项目部,否,其它系统,精装,外墙防水涂料粉刷,,243,精装
76,粤园,华南,广州,独立,二级,金额10万以上的常规维修,不动产项目部,否,其它系统,土建,社区及护理居民房间渗漏防水改造,,40,土建
77,粤园,华南,广州,独立,二级,金额10万以上的房态更新,不动产项目部,否,其它系统,土建,空置房房态恢复,独立空置房墙面大面积刷漆，更换木地板、家具修补,50,土建
78,粤园,华南,广州,独立,一级（最高级）,金额10万以上的常规维修,不动产项目部,否,其它系统,机电,热水管道生锈改造,,80,机电
79,粤园,华南,广州,独立,二级,金额10万以上的常规维修,社区分包,否,其它系统,土建,社区居民房间淋浴间地面防水改造,房间渗漏水改造,20,土建
80,粤园,华南,广州,独立,三级,金额10万以上的常规维修,不动产项目部,否,其它系统,精装,社区公区通道天、地、墙面翻新,含会所,15,精装
81,粤园,华南,广州,独立,三级,金额10万以上的常规维修,不动产项目部,否,其它系统,精装,社区公区老旧点位翻新,社区围栏生锈翻新、社区各处损坏镜子及玻璃更换维修、社区沥青路面开裂维修、标致标识品质提升,30,精装
82,粤园,华南,广州,独立,二级,品质提升,不动产项目部,否,其它系统,精装,室内品质提升,精装入户门&门套更换维修、卫生间厨房美缝,20,精装
83,粤园,华南,广州,独立,一级（最高级）,金额10万以上的常规维修,不动产项目部,否,其它系统,精装,社区公区老旧点位翻新,7#8#9#10#楼各楼层电梯出口大理石地面下沉、破损,11,精装
84,粤园,华南,广州,独立,一级（最高级）,金额10万以上的常规维修,社区分包,否,其它系统,弱电,照明系统改造,智能照明检修、园林景观照明线路,12,弱电
85,粤园,华南,广州,独立,二级,金额10万以上的常规维修,社区分包,否,其它系统,精装,各楼层防火门及门禁更换（,各楼层防火门及门禁更换（破旧、走失风险等），每个楼层有7个门禁，合计49个,10,精装
86,粤园,华南,广州,独立,一级（最高级）,品质提升,不动产项目部,否,土建设施,土建,粤园5号楼大厅及场馆品质提升改造工程,,500,土建
87,粤园,华南,广州,护理,二级,品质提升,社区分包,否,其它系统,土建,记忆花园升级改造,记忆花园升级改造,15,土建
88,粤园,华南,广州,护理,一级（最高级）,品质提升,社区分包,否,其它系统,土建,2楼南区改造成记忆照护区，友好环境等5+3+1体系相关的内容,2楼南区改造成记忆照护区，友好环境等5+3+1体系相关的内容,10,土建
89,粤园,华南,广州,独立,一级（最高级）,节能改造,不动产项目部,是,其它系统,弱电,能源管理平台,能源管理平台,10,弱电
90,粤园,华南,广州,独立,一级（最高级）,安全,社区分包,是,其它系统,弱电,动火离人报警,动火离人报警,10,弱电
91,粤园,华南,广州,独立,一级（最高级）,品质提升,社区分包,否,土建设施,土建,大草坪景观改造,大草坪景观改造,30,土建
92,蜀园,西南,成都,独立,一级（最高级）,品质提升,不动产项目部,否,其它系统,机电,3号楼新风机改造,,48,机电
93,蜀园,西南,成都,独立,二级,品质提升,不动产项目部,否,供配电系统,机电,一二期机电系统改造,,40,机电
94,蜀园,西南,成都,独立,二级,品质提升,不动产项目部,否,土建设施,土建,一二期装修改造,,40,土建
95,蜀园,西南,成都,独立,二级,品质提升,社区分包,否,其它系统,土建,护理超体场景,,36,土建
96,蜀园,西南,成都,独立,二级,大修,社区分包,否,其它系统,机电,冷却塔填料更换,,30,机电
97,蜀园,西南,成都,独立,二级,安全,不动产项目部,否,消防系统,消防,常闭式防火门改造,,30,消防
98,蜀园,西南,成都,独立,二级,大修,不动产项目部,否,电梯系统,电梯,电梯钢绳更换,,12,电梯
99,蜀园,西南,成都,独立,二级,品质提升,不动产项目部,否,家具,固定物资采买,家具翻新,,160,固定物资采买
100,蜀园,西南,成都,独立,二级,大修,不动产项目部,否,暖通/供冷系统,机电,一期空调保温层维修及锈蚀管件更换,,120,机电
101,蜀园,西南,成都,独立,二级,品质提升,不动产项目部,否,土建设施,土建,会所石材翻新,,60,土建
102,蜀园,西南,成都,独立,二级,品质提升,社区分包,否,家具,固定物资采买,木地板翻新,,30,固定物资采买
103,蜀园,西南,成都,独立,二级,品质提升,不动产项目部,否,土建设施,土建,二期地下室地面翻新,,20,土建
104,蜀园,西南,成都,独立,二级,品质提升,社区分包,否,土建设施,土建,6/7号楼墙面裂缝处理,,90,土建
105,蜀园,西南,成都,独立,二级,品质提升,社区分包,否,土建设施,土建,二期连廊立柱美化,,20,土建
106,蜀园,西南,成都,独立,二级,安全,不动产项目部,否,保安/监控系统,弱电,监控盲区新增摄像头,,80,弱电
107,蜀园,西南,成都,独立,二级,安全,不动产项目部,否,弱电系统,弱电,一二期弱电井增加排风扇,,24,弱电
108,蜀园,西南,成都,独立,二级,品质提升,不动产项目部,否,供排水系统,机电,更换一期厨房吊顶内PPR水管,,12,机电
109,蜀园,西南,成都,独立,二级,品质提升,不动产项目部,否,家具,固定物资采买,厨房吊顶翻新,,10,固定物资采买
110,蜀园,西南,成都,独立,一级（最高级）,节能改造,不动产项目部,是,其它系统,机电,节能改造专项,,200,机电
111,蜀园,西南,成都,独立,二级,品质提升,社区分包,否,其它系统,土建,零星维修专项,,48,土建
112,蜀园,西南,成都,独立,二级,品质提升,社区分包,否,其它系统,精装,房态恢复,退住还原,30,精装
113,蜀园,西南,成都,独立,三级,品质提升,不动产项目部,否,其它系统,土建,护理品质提升改造,,20,土建
114,蜀园,西南,成都,独立,三级,品质提升,不动产项目部,否,其它系统,弱电,科技应用专项改造,,100,弱电
115,蜀园,西南,成都,独立,一级（最高级）,安全,不动产项目部,是,其它系统,弱电,动火离人报警系统增设及节能罩改造升级,与运行安全、政府政策要求、总部管控要求等提出来需要整改维修的运行安全风险相关的维修改造；光伏、空气源等现关的节能改造,35,弱电
116,蜀园,西南,成都,独立,一级（最高级）,节能改造,社区分包,是,其它系统,机电,节能炉灶,节能炉灶,10,机电
117,吴园,华东,苏州,独立,二级,品质提升,不动产项目部,否,其它系统,精装,一期房间翻新,一期部分房屋精装老化，品质提升进行提升改造,40,精装
118,吴园,华东,苏州,独立,一级（最高级）,品质提升,不动产项目部,否,其它系统,土建,12栋中庭封闭改造/3号楼改造,为了增加居民活动空间，同时有效增加使用面积,55,土建
119,吴园,华东,苏州,独立,一级（最高级）,品质提升,不动产项目部,否,供配电系统,机电,水泵房电源改造（增加ups）,应急突发断电情况,15,机电
120,吴园,华东,苏州,独立,一级（最高级）,安全,不动产项目部,是,其它系统,弱电,二、三期人脸识别系统改造,完善二三期人脸识别系统未完善，保障居民出入安全,10,弱电
121,吴园,华东,苏州,独立,一级（最高级）,节能改造,不动产项目部,是,其它系统,机电,泳池气改电节能改造,针对泳池的单项加热整改为空气源热泵供热方式,40,机电
122,吴园,华东,苏州,独立,一级（最高级）,节能改造,不动产项目部,是,其它系统,弱电,能管平台整改完善,现有能管平台整改完善,15,弱电
123,吴园,华东,苏州,独立,一级（最高级）,节能改造,不动产项目部,是,其它系统,弱电,AI冷站群控,增加中央空调系统智能群控,40,弱电
124,吴园,华东,苏州,独立,一级（最高级）,安全,不动产项目部,是,其它系统,弱电,动火离人报警系统（厨房）,针对厨房炉灶加装动火离人报警系统,15,弱电
125,吴园,华东,苏州,独立,一级（最高级）,节能改造,不动产项目部,是,其它系统,机电,节能炉灶（燃气灶）,针对燃气灶进行节能改造,10,机电
126,吴园,华东,苏州,独立,二级,大修,社区招采,否,其它系统,机电,一、二期生活水箱、泳池水箱改造维修,水箱锈蚀严重、存在风险，需要更换或大修,20,机电
127,吴园,华东,苏州,独立,二级,品质提升,社区招采,否,其它系统,土建,西会所及乐泰汇自选餐餐台改造,西会所及乐泰汇一楼餐台硬件改造，铺设大理石台面，电量增容,12,土建
128,楚园,西南,武汉,独立,一级（最高级）,IBMS相关工程改造,社区分包,是,楼宇自控系统,弱电,IBMS建设,主系统建设费用50万，子系统改造费用56万，子系统维修费用15万,121,弱电
129,楚园,西南,武汉,独立,三级,品质提升,不动产项目部,否,其它系统,机电,自动门改造,社区居民楼对外出口门适老化改造，改为电动门，共14个,46,机电
130,楚园,西南,武汉,独立,三级,品质提升,不动产项目部,否,暖通/供冷系统,机电,活力中心房间空调效果差改造,活力中心8个房间空调效果改善，增加一台VRV空调主机，14台分机一层：2个餐厅包间，二层：2个党员活动室、形体室、3个餐厅包间,30,机电
131,楚园,西南,武汉,独立,三级,品质提升,不动产项目部,否,保安/监控系统,弱电,电动伸缩门改自动抬杆道闸,电动伸缩门改自动抬杆道闸,15,弱电
132,楚园,西南,武汉,独立,三级,品质提升,不动产项目部,否,其它系统,土建,活力中心3层改造,活力中心3层改造，样板间改活动室、多功能室、影音室,70,土建
133,楚园,西南,武汉,独立,三级,品质提升,不动产项目部,否,其它系统,机电,东湖厅、珞珈厅增加舞台灯,东湖厅、珞珈厅舞台灯、面光灯,15,机电
134,楚园,西南,武汉,独立,三级,品质提升,不动产项目部,否,其它系统,精装,园区标识翻新,标识褪色、破损、老化，部分区域更改名称标识指示信息不准确,28,精装
135,楚园,西南,武汉,独立,三级,品质提升,不动产项目部,否,土建设施,土建,塑胶跑道维修,破损严重塑胶跑道局部翻新约750平方,22,土建
136,楚园,西南,武汉,独立,三级,大修,不动产项目部,否,暖通/供冷系统,机电,冷却塔填料更换,6台冷却塔填料更换,40,机电
137,楚园,西南,武汉,独立,三级,大修,不动产项目部,否,供排水系统,机电,天沟开裂维修,1.2期屋面天沟开裂维修，天沟开裂约1000米，外层做防水,13,机电
138,楚园,西南,武汉,独立,一级（最高级）,安全,不动产项目部,是,其它系统,弱电,防走失人脸识别系统建设,在护理楼电梯及社区大门口安装人脸识别摄像头，对易走失人员进入摄像头范围后进行预警,15,弱电
139,楚园,西南,武汉,独立,一级（最高级）,安全,不动产项目部,是,其它系统,弱电,灶台动火离人报警,安装厨房灶台动火离人报警系统,15,弱电
140,楚园,西南,武汉,独立,一级（最高级）,节能改造,不动产项目部,是,其它系统,弱电,空调AI节能改造,空调主机 AI 智能算法,50,弱电
141,楚园,西南,武汉,独立,一级（最高级）,节能改造,不动产项目部,否,其它系统,机电,生活热水及泳池热源改造,1#楼顶2台闲置风冷热泵更换为空气源热泵，供生活热水及泳池热水,70,机电
142,楚园,西南,武汉,独立,二级,品质提升,社区分包,否,其它系统,精装,房态恢复,退住还原,30,精装
143,大清谷,华东,杭州,独立,三级,品质提升,不动产项目部,否,其它系统,精装,品质提升,1、居民楼1256#顶层遮阳帘增加：3.5万；2、茶亭观景台改造：1万；3、3#-4#楼之间连廊照明增加：1万；4、花园房改造：3.5万；5、外围园林灯改造：1万；,10,精装
144,大清谷,华东,杭州,独立,三级,其他改造,不动产项目部,否,其它系统,弱电,运行需求（含安全、运行需求）,"1、南北道闸改造：南北倒闸更换，北侧道闸实现无人值守。南侧道闸提升摄像头识别率。两套一进一出道闸设备，预计改造费用为约6万元；
2、弱电设备设施维修：地下室增加无线定位触发器，4.2万；
3、监控盲区增加60个监控及存储服务器、硬盘：11.47万；
4、护理公寓人脸识别：15万",36,弱电
145,大清谷,华东,杭州,独立,三级,大修,不动产项目部,否,其它系统,弱电,大修,"LED 大屏需整体更换：一是此前漏水后，备件已全部更换，该型号备件目前已停产；二是大屏本身的维保期已结束，后续维护无保障。
费用：5600元/㎡*23㎡=13万",13,弱电
146,大清谷,华东,杭州,独立,三级,大修,不动产项目部,否,其它系统,机电,大修,冷却塔清洗，填料清洗更换；更换6台冷却塔填料，2249元/㎡*57.8㎡=13万,13,机电
147,大清谷,华东,杭州,独立,三级,大修,不动产项目部,否,其它系统,土建,大修,屋面防水维修，33个点位,10,土建
148,大清谷,华东,杭州,独立,三级,金额10万以上的房态更新,不动产项目部,否,其它系统,精装,房态提升,"退住还原房态恢复维修：
1、独立区年度周转率是18%，310户 独立区310*0.18=55.8户 预计维修56户；
2、护理区年度周转率是30% ，38户 38*0.3=11.4户预计维修12户；
3、临客房预估20间；
4、合计：88间
按照88户计算，每户按照维修费4000元进行测算，88间*4000元/户=352000。（每间进行精装维修：包含顶面、地面、墙面修补，地板更换，水电的维修，物料和家具维护等）",35,精装
149,大清谷,华东,杭州,独立,三级,金额10万以上的房态更新,不动产项目部,否,其它系统,精装,房态提升,浴霸暖风机：406户*568元/台=230608元，（浴霸暖风机380元/台）,23,精装
150,大清谷,华东,杭州,独立,三级,金额10万以上的房态更新,不动产项目部,否,其它系统,精装,房态提升,电动晾衣杆：355户*975元/台=346125元，（电动晾衣杆650元/台）,35,精装
151,大清谷,华东,杭州,独立,一级（最高级）,节能改造,不动产项目部,是,其它系统,弱电,能源管理平台,能源管理平台,10,弱电
152,大清谷,华东,杭州,独立,一级（最高级）,安全,不动产项目部,是,其它系统,弱电,动火离人报警,动火离人报警,10,弱电
153,赣园,华南,南昌,独立,一级（最高级）,节能改造,社区分包,是,其它系统,机电,节能改造,地下室停车场照明节能改造,5,机电
154,赣园,华南,南昌,独立,二级,品质提升,,否,其它系统,精装,1.3 维修费用-公区装饰装修维修,公区室外木地板及木扶手翻新刷桐油，房屋公区维修。,9,精装
155,赣园,华南,南昌,独立,三级,品质提升,不动产项目部,否,其它系统,园林,2.1 改良改造费用-品质提升类,赣园社区北门岗及园区园林景观升级改造,25,园林
156,赣园,华南,南昌,独立,一级（最高级）,节能改造,不动产项目部,否,其它系统,机电,2.2 改良改造费用-节能改造,地下室空气源热泵改造（会所宴会厅空调过渡季用、泳池及厨房热水用）,60,机电
157,赣园,华南,南昌,独立,一级（最高级）,其他改造,社区分包,否,其它系统,土建,2.5 改良改造费用-经营功能改变型改造,5#居民楼部分楼层房间改造为轻协护单元,22,土建
158,赣园,华南,南昌,独立,一级（最高级）,节能改造,社区分包,是,其它系统,弱电,能管平台智能化改造,"能管平台,IBMS平台搭设后,对应能管平台建设",40,弱电
159,赣园,华南,南昌,独立,二级,其他改造,,否,其它系统,精装,房态提升,"园区已运营5年,部分房间在居民退住或换房后,需进行大面积翻新线维护",8,精装
160,赣园,华南,南昌,独立,一级（最高级）,安全,社区分包,是,其它系统,弱电,动火离人报警,动火离人报警,15,弱电
161,沈园,华北,沈阳,独立,一级（最高级）,经营性质改变,不动产项目部,否,其它系统,土建,3#楼改造，大户型改成小一居,精装修工程,800,土建
162,沈园,华北,沈阳,独立,二级,品质提升,社区分包,否,其它系统,精装,房态恢复,退住还原,7,精装
163,沈园,华北,沈阳,独立,一级（最高级）,安全,社区分包,是,其它系统,弱电,动火离人报警,动火离人报警,10,弱电
164,沈园,华北,沈阳,独立,一级（最高级）,节能改造,社区分包,是,其它系统,弱电,AI冷站群控,AI冷站节能,40,弱电
165,沈园,华北,沈阳,独立,一级（最高级）,节能改造,社区分包,是,其它系统,弱电,能源管理平台,能源管理平台,10,弱电
166,湘园,华南,长沙,独立,二级,其他改造,不动产项目部,否,其它系统,园林,园林景观改造,园林景观区域标识标牌、室外灯杆、室外园林区域配套的桌椅、小区域精品化打造等维修美化更换,58,园林
167,湘园,华南,长沙,独立,二级,其他改造,,否,其它系统,精装,闭环塑胶跑道,1.2.3号居民楼周边增加闭环跑道,20,精装
168,湘园,华南,长沙,独立,二级,其他改造,,否,其它系统,精装,居民楼翻新改造,居民楼翻新改造,35,精装
169,湘园,华南,长沙,独立,二级,其他改造,,否,其它系统,土建,体验馆翻新改造,体验馆翻新改造,20,土建
170,湘园,华南,长沙,独立,二级,其他改造,不动产项目部,否,其它系统,土建,宿舍楼架空层改造,宿舍楼架空层改造,30,土建
